,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
452,Cinema Paradiso,1988,8.5,80.0,255221,11.99,155
453,Some Like It Hot,1959,8.2,98.0,262670,25.0,121
454,The Secret in Their Eyes,2009,8.2,80.0,206782,6.39,129
455,First Blood,1982,7.7,61.0,246541,47.21,93
456,The Theory of Everything,2014,7.7,71.0,441220,35.89,123
457,The Raid: Redemption,2011,7.6,73.0,202280,4.11,101
458,Doctor Zhivago,1965,7.9,69.0,75832,111.72,197
459,Akira,1988,8.0,67.0,181692,0.55,124
460,JFK,1991,8.0,72.0,153754,70.41,189
461,Boyhood,2014,7.9,100.0,351135,25.38,165
462,Ben-Hur,1959,8.1,90.0,236098,74.7,212
463,Billy Elliot,2000,7.7,74.0,133863,22.0,110
464,A Silent Voice: The Movie,2016,8.1,78.0,75867,,130
465,The Great Escape,1963,8.2,86.0,241147,12.1,172
466,Close Encounters of the Third Kind,1977,7.6,90.0,198556,132.09,138
467,Gandhi,1982,8.1,79.0,228443,52.77,191
468,Chungking Express,1994,8.0,78.0,78212,0.6,102
469,Baahubali: The Beginning,2015,8.0,,118184,6.74,159
470,My Neighbor Totoro,1988,8.1,86.0,328492,1.11,86
471,The Wrestler,2008,7.9,80.0,302776,26.24,109
472,Demon Slayer the Movie: Mugen Train,2020,8.2,72.0,52817,47.7,117
473,Sound of Metal,2019,7.7,82.0,119852,,120
474,In the Name of the Father,1993,8.1,84.0,172013,25.01,133
475,The Right Stuff,1983,7.8,91.0,60921,21.5,193
476,Dogville,2003,8.0,60.0,147214,1.53,178
477,Captain Phillips,2013,7.8,82.0,451905,107.1,134
478,The Royal Tenenbaums,2001,7.6,76.0,288049,52.36,110
479,Mississippi Burning,1988,7.8,65.0,99058,34.6,128
480,Creed,2015,7.6,82.0,267890,109.77,133
481,Sling Blade,1996,8.0,84.0,93205,24.48,135
482,The Conversation,1974,7.8,87.0,110069,4.42,113
483,Goldfinger,1964,7.7,87.0,187638,51.08,110
484,The Bourne Ultimatum,2007,8.0,85.0,628175,227.47,115
485,The Holy Mountain,1973,7.8,76.0,42186,0.06,114
486,Adaptation.,2002,7.7,83.0,190632,22.25,115
487,Barry Lyndon,1975,8.1,89.0,164399,,185
488,The Ten Commandments,1956,7.9,,70399,93.74,220
489,The Nightmare Before Christmas,1993,7.9,82.0,327283,75.08,76
490,Match Point,2005,7.6,72.0,216236,23.09,124
491,Spartacus,1960,7.9,87.0,133436,30.0,197
492,Metropolis,1927,8.3,98.0,171834,1.24,153
493,The Bourne Supremacy,2004,7.7,73.0,457898,176.24,108
494,Before Sunset,2004,8.1,90.0,257800,5.82,80
495,The Jungle Book,1967,7.6,65.0,179188,141.84,78
496,La Haine,1995,8.1,,168824,0.31,98
497,Battle Royale,2000,7.6,81.0,180971,,114
498,Before Midnight,2013,7.9,94.0,154529,8.11,109
499,My Fair Lady,1964,7.8,95.0,94480,72.0,170
500,Bridge of Spies,2015,7.6,81.0,306898,72.31,142
501,The Birds,1963,7.7,90.0,185585,11.4,119
502,Sunset Blvd.,1950,8.4,,218040,,110
503,The Magnificent Seven,1960,7.7,74.0,93970,4.91,128
504,The Color Purple,1985,7.7,78.0,85571,98.47,154
505,Network,1976,8.1,83.0,157408,,121
506,Traffic,2000,7.6,86.0,205939,124.12,147
507,How to Train Your Dragon 2,2014,7.8,77.0,328532,177.0,102
508,The Man from Earth,2007,7.9,,185305,,87
509,The Girl with the Dragon Tattoo,2009,7.8,76.0,215827,10.1,152
510,Serpico,1973,7.7,81.0,121033,29.8,130
511,Baahubali 2: The Conclusion,2017,8.2,,93192,20.19,167
512,M,1931,8.3,,155549,0.03,99
513,Philadelphia,1993,7.7,66.0,238495,77.32,125
514,The Sting,1973,8.3,83.0,257975,159.6,129
515,Star Trek II: The Wrath of Khan,1982,7.7,67.0,119898,78.91,113
516,Stalker,1979,8.1,,131711,0.23,162
517,The Man Who Shot Liberty Valance,1962,8.1,94.0,75132,,123
518,Bonnie and Clyde,1967,7.7,86.0,111544,,111
519,127 Hours,2010,7.6,82.0,371739,18.34,94
520,Stagecoach,1939,7.8,93.0,48336,,96
521,Life of Brian,1979,8.0,77.0,393525,20.05,94
522,Hachi: A Dog's Tale,2009,8.1,,278448,,93
523,Ghost in the Shell,1995,7.9,76.0,140571,0.52,83
524,The Fall,2006,7.8,64.0,111637,2.28,117
525,Butch Cassidy and the Sundance Kid,1969,8.0,66.0,213479,102.31,110
526,Rushmore,1998,7.6,86.0,183346,17.11,93
527,The French Connection,1971,7.7,94.0,120966,15.63,104
528,The Elephant Man,1980,8.2,78.0,237341,,124
529,Let the Right One In,2008,7.9,82.0,214853,2.12,114
530,The Night of the Hunter,1955,8.0,99.0,88367,0.65,92
531,Jai Bhim,2021,8.9,,189540,,164
532,The Iron Giant,1999,8.1,85.0,188068,23.16,86
533,Happiness,1998,7.7,81.0,69836,2.81,134
534,After Hours,1985,7.6,90.0,68051,10.6,97
535,Ordinary People,1980,7.7,86.0,51624,54.8,124
536,Roma,2018,7.7,96.0,155035,,135
537,Nosferatu,1922,7.9,,95654,,94
538,Lucky Number Slevin,2006,7.7,53.0,310957,22.49,110
539,The Insider,1999,7.8,84.0,169663,28.97,157
540,Isle of Dogs,2018,7.8,82.0,163811,32.02,101
541,The Naked Gun: From the Files of Police Squad!,1988,7.6,76.0,166187,78.76,85
542,Wild Tales,2014,8.1,77.0,194222,3.11,122
543,Glory,1989,7.8,78.0,133491,26.83,122
544,Kung Fu Hustle,2004,7.7,78.0,137312,17.11,99
545,Malcolm X,1992,7.7,73.0,93467,48.17,202
546,The Great Beauty,2013,7.7,86.0,89468,2.85,141
547,The Bridge on the River Kwai,1957,8.2,87.0,217606,44.91,161
548,The Apartment,1960,8.3,94.0,178545,18.6,125
549,Ponyo,2008,7.6,86.0,140235,15.09,101
550,October Sky,1999,7.8,71.0,89789,32.48,108
551,Manhattan,1979,7.9,83.0,139001,45.7,96
552,Ip Man,2008,8.0,59.0,221703,,106
553,Solaris,1972,8.0,90.0,89887,,167
554,A Separation,2011,8.3,95.0,241764,7.1,123
555,Detachment,2011,7.7,52.0,84103,0.07,98
556,Glengarry Glen Ross,1992,7.7,82.0,103970,10.73,100
557,The Last Picture Show,1971,8.0,93.0,47699,29.13,118
558,Dawn of the Dead,1978,7.8,71.0,119070,5.1,127
559,"Paris, Texas",1984,8.0,78.0,103933,2.18,145
560,A Streetcar Named Desire,1951,7.9,97.0,106910,8.0,122
561,All the President's Men,1976,7.9,84.0,113602,70.6,138
562,This Is England,2006,7.7,86.0,121458,0.33,101
563,Cool Hand Luke,1967,8.1,92.0,174813,16.22,127
564,Patton,1970,7.9,91.0,101192,61.7,172
565,Night of the Living Dead,1968,7.8,89.0,126158,0.09,96
566,Hara-Kiri,1962,8.6,85.0,54218,,133
567,On the Waterfront,1954,8.1,91.0,153040,9.6,108
568,Changeling,2008,7.8,63.0,252889,35.74,141
569,Kramer vs. Kramer,1979,7.8,77.0,143526,106.26,105
570,Dangal,2016,8.3,,183555,12.39,161
571,Die Hard with a Vengeance,1995,7.6,58.0,382897,100.01,128
572,Run Lola Run,1998,7.7,77.0,197270,7.27,80
573,Enter the Dragon,1973,7.6,83.0,103426,25.0,102
574,I Am Sam,2001,7.6,28.0,149325,40.31,132
575,Snow White and the Seven Dwarfs,1937,7.6,95.0,195727,184.93,83
576,Mysterious Skin,2004,7.6,73.0,69241,0.7,105
577,Badlands,1973,7.7,93.0,72144,,94
578,Clerks,1994,7.7,70.0,220064,3.15,92
579,The Best Offer,2013,7.8,49.0,117447,0.09,131
580,The Longest Day,1962,7.7,75.0,55371,39.1,178
581,Flipped,2010,7.7,45.0,89024,1.75,90
582,Cabaret,1972,7.8,80.0,54299,42.77,124
583,Amores perros,2000,8.1,83.0,237562,5.38,154
584,Kiki's Delivery Service,1989,7.8,83.0,140587,,103
585,The Name of the Rose,1986,7.7,54.0,107826,7.15,130
586,Annie Hall,1977,8.0,92.0,262925,39.2,93
587,PK,2014,8.1,,180173,10.62,153
588,Ran,1985,8.2,96.0,123597,4.14,162
589,Searching,2018,7.6,71.0,159423,26.02,102
590,Hero,2002,7.9,85.0,180282,53.71,120
591,Mommy,2014,8.0,74.0,56085,3.49,139
592,Paths of Glory,1957,8.4,90.0,193804,,88
593,The Quiet Man,1952,7.7,85.0,38373,10.55,129
594,Rebecca,1940,8.1,86.0,135349,4.36,130
595,Hotel Rwanda,2004,8.1,79.0,351560,23.53,121
596,21 Grams,2003,7.7,70.0,234839,16.29,124
597,The Outlaw Josey Wales,1976,7.8,69.0,72673,31.8,135
598,Gaslight,1944,7.8,,28371,,114
599,Persona,1966,8.1,86.0,115971,,83
600,Tumbbad,2018,8.2,,42052,,104
601,Belle de Jour,1967,7.7,,43952,0.03,100
602,Cinderella Man,2005,8.0,69.0,185728,61.65,144
603,Dancer in the Dark,2000,7.9,61.0,108832,4.18,140
604,The Wild Bunch,1969,7.9,97.0,83855,12.06,135
605,Sing Street,2016,7.9,79.0,92442,3.24,106
606,Shoplifters,2018,7.9,93.0,74108,3.31,121
607,The King of Comedy,1982,7.8,73.0,101048,2.5,109
608,In the Heat of the Night,1967,7.9,75.0,75299,24.38,110
609,Barton Fink,1991,7.6,69.0,120195,6.15,116
610,The Raid 2,2014,7.9,71.0,121913,2.63,150
611,Charade,1963,7.9,83.0,76150,13.47,113
612,Nebraska,2013,7.7,87.0,117422,17.65,115
613,The Third Man,1949,8.1,97.0,169720,0.45,93
614,Yojimbo,1961,8.2,93.0,121134,,110
615,The Remains of the Day,1993,7.8,86.0,73271,22.95,134
616,Seven Pounds,2008,7.6,36.0,300147,69.95,123
617,Land of Mine,2015,7.8,75.0,40559,0.44,100
618,Days of Heaven,1978,7.8,93.0,57546,,94
619,All About Eve,1950,8.2,98.0,129822,0.01,138
620,Like Stars on Earth,2007,8.3,,188991,1.22,165
621,Pink Floyd: The Wall,1982,8.0,47.0,80318,22.24,95
622,Witness for the Prosecution,1957,8.4,,122456,8.18,116
623,Miller's Crossing,1990,7.7,66.0,134127,5.08,115
624,La dolce vita,1960,8.0,95.0,72197,19.52,174
625,Three Colors: White,1994,7.6,88.0,72367,1.46,92
626,The Bridges of Madison County,1995,7.6,69.0,80178,71.52,135
627,Amour,2012,7.9,94.0,99352,6.74,127
628,In a Lonely Place,1950,7.9,,31088,,94
629,Rebel Without a Cause,1955,7.6,89.0,89626,,111
630,Roman Holiday,1953,8.0,78.0,136863,,118
631,Togo,2019,7.9,69.0,47298,,113
632,Letters from Iwo Jima,2006,7.9,89.0,161561,13.76,141
633,Mother,2009,7.8,79.0,62371,0.55,129
634,Dial M for Murder,1954,8.2,75.0,172789,0.01,105
635,The Straight Story,1999,8.0,86.0,89484,6.2,112
636,King Kong,1933,7.9,90.0,84658,10.0,100
637,Fiddler on the Roof,1971,8.0,67.0,43156,80.5,181
638,The Last Emperor,1987,7.7,76.0,101955,43.98,163
639,The Last King of Scotland,2006,7.7,74.0,184746,17.61,123
640,Paprika,2006,7.7,81.0,81126,0.88,90
641,Harold and Maude,1971,7.9,62.0,76743,,91
642,Freaks,1932,7.9,80.0,45921,,64
643,The Hustler,1961,8.0,90.0,81232,8.28,134
644,The Best Years of Our Lives,1946,8.1,93.0,63296,23.65,170
645,Perfect Strangers,2016,7.7,,64194,,96
646,Open Your Eyes,1997,7.7,,68816,0.37,119
647,The Big Sleep,1946,7.9,86.0,84775,6.54,114
648,Black Book,2006,7.7,71.0,76464,4.4,145
649,Me and Earl and the Dying Girl,2015,7.7,74.0,130360,6.74,105
650,Three Colors: Blue,1993,7.9,85.0,100264,1.32,94
651,Beasts of No Nation,2015,7.7,79.0,80432,0.08,137
652,The Wind Rises,2013,7.7,83.0,83560,5.21,126
653,8½,1963,8.0,91.0,116630,0.05,138
654,What Ever Happened to Baby Jane?,1962,8.0,75.0,55147,4.05,134
655,The Man Who Would Be King,1975,7.8,91.0,48536,,129
656,High Noon,1952,8.0,89.0,103285,9.45,85
657,Key Largo,1948,7.7,,40436,,100
658,Ray,2004,7.7,73.0,146313,75.33,152
659,The Day of the Jackal,1973,7.8,80.0,40592,16.06,143
660,Gangs of Wasseypur,2012,8.2,89.0,93912,,321
661,A Man Called Ove,2015,7.7,70.0,53863,3.36,116
662,It Happened One Night,1934,8.1,87.0,102490,4.36,105
663,The Artist,2011,7.9,89.0,239926,44.67,100
664,From Here to Eternity,1953,7.6,85.0,46670,30.5,118
665,Nausicaä of the Valley of the Wind,1984,8.0,86.0,166525,0.5,117
666,Article 15,2019,8.2,,32724,,130
667,Double Indemnity,1944,8.3,95.0,154559,5.72,107
668,50/50,2011,7.6,72.0,327686,35.01,100
669,25th Hour,2002,7.6,68.0,177541,13.06,135
670,Hamlet,1996,7.8,,38000,4.41,242
671,The Maltese Falcon,1941,8.0,97.0,156946,2.11,100
672,Wings of Desire,1987,8.0,79.0,70114,3.33,128
673,A Christmas Story,1983,7.9,77.0,146389,20.61,93
674,Neon Genesis Evangelion: The End of Evangelion,1997,8.0,,52409,,87
675,Klaus,2019,8.1,65.0,142582,,96
676,The Verdict,1982,7.7,77.0,39897,54.0,129
677,The Great Dictator,1940,8.4,,220532,0.29,125
678,Happy Together,1997,7.7,70.0,28396,0.19,96
679,Out of the Past,1947,8.0,,36690,,97
680,Once,2007,7.8,88.0,115870,9.44,86
681,The Killing Fields,1984,7.8,76.0,55169,34.7,141
682,Evil,2003,7.7,61.0,38285,0.02,113
683,Wolfwalkers,2020,8.0,87.0,30659,,103
684,Castle in the Sky,1986,8.0,78.0,163441,,125
685,All That Jazz,1979,7.8,72.0,31393,37.82,123
686,Short Cuts,1993,7.7,79.0,44639,6.11,188
687,The Legend of 1900,1998,8.0,58.0,63572,0.26,169
688,Paper Moon,1973,8.1,77.0,47013,30.93,102
689,Where Eagles Dare,1968,7.6,63.0,57615,,158
690,Frankenstein,1931,7.8,91.0,71230,,70
691,Three Colors: Red,1994,8.1,100.0,101683,4.04,99
692,The Treasure of the Sierra Madre,1948,8.2,98.0,123365,5.01,126
693,Breaking the Waves,1996,7.8,76.0,66362,4.04,159
694,Rope,1948,7.9,73.0,141113,,80
695,Mary and Max,2009,8.1,,175279,,92
696,Sabrina,1954,7.6,72.0,64204,,113
697,The Manchurian Candidate,1962,7.9,94.0,75020,,126
698,My Left Foot,1989,7.9,97.0,73565,14.74,103
699,Breathless,1960,7.7,,79993,0.34,90
700,Miracle in Cell No. 7,2019,8.2,,47119,,132
701,Rashomon,1950,8.2,98.0,165848,0.1,88
702,Porco Rosso,1992,7.7,83.0,87513,,94
703,Being There,1979,8.0,83.0,71789,30.18,130
704,The Day the Earth Stood Still,1951,7.8,,81232,,92
705,"South Park: Bigger, Longer & Uncut",1999,7.7,73.0,202580,52.04,81
706,Modern Times,1936,8.5,96.0,237797,0.16,87
707,Who's Afraid of Virginia Woolf?,1966,8.0,75.0,74533,,131
708,Andhadhun,2018,8.2,,89494,1.37,139
709,Waking Life,2001,7.7,83.0,63726,2.89,99
710,Fantastic Planet,1973,7.7,73.0,30523,0.19,72
711,Once Were Warriors,1994,7.9,77.0,33957,2.2,102
712,Nashville,1975,7.7,96.0,26091,14.82,160
713,Short Term 12,2013,7.9,82.0,87103,1.01,96
714,Anatomy of a Murder,1959,8.0,95.0,65655,11.9,161
715,Infernal Affairs,2002,8.0,75.0,123678,0.17,101
716,Pride,2014,7.8,79.0,55806,,119
717,Judgment at Nuremberg,1961,8.3,60.0,76482,,179
718,The Grapes of Wrath,1940,8.1,96.0,91851,0.06,129
719,The White Ribbon,2009,7.8,82.0,73059,2.22,144
720,The World's Fastest Indian,2005,7.8,68.0,54663,5.13,127
721,All About My Mother,1999,7.8,87.0,95717,8.26,101
722,"4 Months, 3 Weeks and 2 Days",2007,7.9,97.0,59815,1.19,113
723,Kubo and the Two Strings,2016,7.7,84.0,127373,48.02,101
724,The Celebration,1998,8.1,82.0,86110,1.65,105
725,The Cabinet of Dr. Caligari,1920,8.0,,62753,,67
726,Whisper of the Heart,1995,7.9,75.0,60899,,111
727,The Man from Nowhere,2010,7.7,,68709,0.01,119
728,High and Low,1963,8.4,90.0,43031,,143
729,Dragon Ball Super: Broly,2018,7.8,59.0,26379,30.71,100
730,Arsenic and Old Lace,1943,7.9,,70180,,118
731,Loving Vincent,2017,7.8,62.0,57000,6.74,94
732,Jules and Jim,1962,7.7,97.0,41060,,105
733,Zulu,1964,7.7,77.0,38928,,138
734,Control,2007,7.7,78.0,64859,0.87,122
735,The Philadelphia Story,1940,7.9,96.0,68568,,112
736,The Innocents,1961,7.8,88.0,30016,2.62,100
737,The Chaser,2008,7.8,64.0,65106,,125
738,The African Queen,1951,7.7,91.0,77967,0.54,105
739,The Vanishing,1988,7.7,,38341,,107
740,Fanny and Alexander,1982,8.1,100.0,63247,4.97,188
741,Batman: Mask of the Phantasm,1993,7.8,,50027,5.62,76
742,The Lion in Winter,1968,7.9,,31300,22.28,134
743,Bicycle Thieves,1948,8.3,,161051,0.33,89
744,Children of Heaven,1997,8.2,77.0,73686,0.93,89
745,Touch of Evil,1958,8.0,99.0,103625,2.24,95
746,Good Bye Lenin!,2003,7.7,68.0,145024,4.06,121
747,Secrets & Lies,1996,8.0,91.0,42807,13.42,136
748,Philomena,2013,7.6,77.0,99394,37.71,98
749,Hannah and Her Sisters,1986,7.9,90.0,71028,40.08,107
750,Cape Fear,1962,7.7,76.0,28926,,106
751,Cat on a Hot Tin Roof,1958,8.0,84.0,49010,17.57,108
752,United 93,2006,7.6,90.0,105786,31.57,111
753,East of Eden,1955,7.8,72.0,45045,,118
754,City Lights,1931,8.5,99.0,181919,0.02,87
755,The 400 Blows,1959,8.1,,115818,,99
756,The Double Life of Véronique,1991,7.7,86.0,47900,2.0,98
757,Fantasia,1940,7.7,96.0,94922,76.41,125
758,The Killing,1956,8.0,91.0,88711,,84
759,Z,1969,8.2,86.0,28304,0.08,127
760,Sardar Udham,2021,8.5,,39525,,164
761,Notorious,1946,7.9,100.0,100060,10.46,102
762,"Aguirre, the Wrath of God",1972,7.9,,56570,,95
763,Ikiru,1952,8.3,91.0,76942,0.06,143
764,Laura,1944,7.9,,46943,4.36,88
765,Lilya 4-Ever,2002,7.8,82.0,45349,0.18,109
766,Le Samouraï,1967,8.0,,50675,0.04,101
767,Dersu Uzala,1975,8.2,,28477,,142
768,Mirror,1975,8.0,80.0,45761,0.18,107
769,To Have and Have Not,1944,7.8,90.0,34310,,100
770,Stalag 17,1953,8.0,84.0,55437,,120
771,Talk to Her,2002,7.9,86.0,111537,9.28,112
772,A Very Long Engagement,2004,7.6,76.0,73603,6.17,133
773,The Asphalt Jungle,1950,7.8,85.0,26746,,112
774,All Quiet on the Western Front,1930,8.1,91.0,60923,3.27,152
775,Wild Strawberries,1957,8.1,88.0,105904,,91
776,The Red Shoes,1948,8.1,,34548,10.9,135
777,Night on Earth,1991,7.7,68.0,59971,2.02,129
778,"I, Daniel Blake",2016,7.8,78.0,59283,0.26,100
779,Guess Who's Coming to Dinner,1967,7.8,63.0,44839,56.7,108
780,The Bride of Frankenstein,1935,7.8,95.0,47588,4.36,75
781,Zindagi Na Milegi Dobara,2011,8.1,,76168,3.11,155
782,The Adventures of Robin Hood,1938,7.9,97.0,50697,3.98,102
783,Drishyam,2015,8.2,,79865,0.74,163
784,Lagaan: Once Upon a Time in India,2001,8.1,84.0,112279,0.07,224
785,The Taking of Pelham One Two Three,1974,7.6,68.0,30310,2.49,104
786,The Leopard,1963,8.0,100.0,25647,,186
787,The Tale of The Princess Kaguya,2013,8.0,89.0,45397,1.51,137
788,When Marnie Was There,2014,7.7,72.0,39375,0.77,103
789,Gully Boy,2019,7.9,65.0,38358,5.57,154
790,Invasion of the Body Snatchers,1956,7.7,92.0,49140,,80
791,A Prophet,2009,7.8,90.0,97990,2.08,155
792,Wolf Children,2012,8.1,71.0,44017,,117
793,Mr. Smith Goes to Washington,1939,8.1,73.0,114537,9.6,129
794,The Wages of Fear,1953,8.2,85.0,60231,,131
795,The Motorcycle Diaries,2004,7.8,75.0,100710,16.76,126
796,Tokyo Story,1953,8.2,,60533,,136
797,Elite Squad,2007,8.0,33.0,103061,0.01,115
798,Repulsion,1965,7.6,91.0,52713,,105
799,Leviathan,2014,7.6,92.0,53087,1.09,140
800,Fitzcarraldo,1982,8.0,,34552,,158
801,Hard Boiled,1992,7.7,,50084,,128
802,The Conformist,1970,7.9,100.0,30026,0.54,113
803,Sleuth,1972,8.0,,47432,4.08,138
804,3-Iron,2004,7.9,72.0,54683,0.24,88
805,The Kid,1921,8.3,,124769,5.45,68
806,White Heat,1949,8.1,,32554,,114
807,Shadow of a Doubt,1943,7.8,94.0,64748,,108
808,The Odd Couple,1968,7.6,86.0,34642,44.53,105
809,Andrei Rublev,1966,8.0,,53001,0.1,205
810,The Sea Inside,2004,8.0,74.0,81302,2.09,126
811,Underground,1995,8.1,79.0,58079,0.17,167
812,The Diving Bell and the Butterfly,2007,8.0,92.0,107188,5.99,112
813,Winter Sleep,2014,8.0,88.0,51197,0.17,196
814,Song of the Sea,2014,8.0,85.0,57512,0.86,93
815,To Be or Not to Be,1942,8.2,86.0,36179,,99
816,The Little Prince,2015,7.7,70.0,61399,1.34,108
817,Hedwig and the Angry Inch,2001,7.7,85.0,35367,3.03,95
818,The Message,1976,8.1,,47109,,177
819,Head-On,2004,7.9,78.0,53975,,121
820,Harvey,1950,7.9,,55367,,104
821,A Man for All Seasons,1966,7.7,72.0,34332,28.35,120
822,Joint Security Area,2000,7.8,58.0,29706,,110
823,The Invisible Man,1933,7.6,87.0,34516,,71
824,Frost/Nixon,2008,7.7,80.0,107581,18.59,122
825,The Salesman,2016,7.7,85.0,59807,2.4,124
826,His Girl Friday,1940,7.8,,58029,0.3,92
827,Shine,1996,7.7,87.0,54014,35.81,105
828,Vikram Vedha,2017,8.2,,37054,,147
829,The Lunchbox,2013,7.8,76.0,55455,4.23,104
830,My Name Is Khan,2010,7.9,50.0,105523,4.02,165
831,The Sacrifice,1986,7.9,,27866,0.3,149
832,Cowboy Bebop: The Movie,2001,7.8,61.0,48051,1.0,115
833,Red River,1948,7.8,,30931,,133
834,Scarface,1932,7.7,87.0,27698,,93
835,Wait Until Dark,1967,7.7,81.0,30370,17.55,108
836,Amarcord,1973,7.9,,43226,0.58,123
837,Shershaah,2021,8.4,,117234,,135
838,The Lady Vanishes,1938,7.8,98.0,52023,,96
839,The Thin Man,1934,7.9,86.0,29318,,91
840,Ninja Scroll,1993,7.8,,37137,,94
841,G.O.R.A.,2004,8.0,,62118,,127
842,The Chorus,2004,7.8,56.0,61564,3.64,97
843,Peeping Tom,1960,7.6,,34902,0.08,101
844,The Station Agent,2003,7.6,81.0,70196,5.74,89
845,Persepolis,2007,8.0,90.0,93879,4.45,96
846,The Hidden Fortress,1958,8.1,89.0,38612,,126
847,Farewell My Concubine,1993,8.1,83.0,28377,5.22,171
848,Pad Man,2018,7.9,,25474,1.66,140
849,The Broken Circle Breakdown,2012,7.7,70.0,41012,0.18,111
850,Bringing Up Baby,1938,7.8,91.0,60918,,102
851,Confessions,2010,7.7,,38741,,106
852,Throne of Blood,1957,8.1,,51590,,110
853,The General,1926,8.2,,90116,1.03,67
854,Ayla: The Daughter of War,2017,8.3,,38984,,125
855,The 39 Steps,1935,7.6,93.0,56444,,86
856,In Cold Blood,1967,7.9,89.0,26425,,134
857,Kagemusha,1980,7.9,84.0,35359,,162
858,Taste of Cherry,1997,7.7,80.0,30173,0.31,95
859,The Passion of Joan of Arc,1928,8.2,,53743,0.02,114
860,Nostalghia,1983,8.0,,26670,0.01,125
861,Cries & Whispers,1972,8.0,,33808,1.74,91
862,Inherit the Wind,1960,8.1,75.0,29940,,128
863,The Umbrellas of Cherbourg,1964,7.8,86.0,27212,0.03,91
864,The Battle of Algiers,1966,8.1,96.0,59251,0.06,121
865,Rififi,1955,8.1,97.0,34027,0.06,118
866,Brief Encounter,1945,8.0,92.0,39716,,86
867,Eyes Without a Face,1960,7.6,90.0,31160,0.05,90
868,Kind Hearts and Coronets,1949,8.0,,37102,,106
869,"Black Cat, White Cat",1998,8.0,73.0,53425,0.35,127
870,My Sassy Girl,2001,8.0,,47846,,137
871,The Shop Around the Corner,1940,8.1,96.0,32591,0.2,99
872,The Girl Who Leapt Through Time,2006,7.7,,65386,,98
873,The Discreet Charm of the Bourgeoisie,1972,7.8,93.0,42530,0.2,102
874,Pather Panchali,1955,8.3,,31744,0.54,125
875,The Killer,1989,7.8,82.0,48115,,111
876,The Experiment,2001,7.7,60.0,93511,0.14,120
877,After the Wedding,2006,7.7,78.0,34474,0.41,120
878,Departures,2008,8.0,68.0,51735,1.5,130
879,Tokyo Godfathers,2003,7.8,73.0,39079,0.13,92
880,The Road,1954,8.0,,62628,,108
881,Diabolique,1955,8.1,,65361,1.09,117
882,The Postman,1994,7.7,81.0,36217,21.85,108
883,Nobody Knows,2004,8.0,88.0,27603,0.68,141
884,M.S. Dhoni: The Untold Story,2016,7.9,,54139,1.78,184
885,The Purple Rose of Cairo,1985,7.7,75.0,51280,10.63,82
886,Miracle on 34th Street,1947,7.9,88.0,47421,2.65,96
887,The Caine Mutiny,1954,7.7,63.0,27429,21.75,124
888,The Virgin Spring,1960,8.1,,29043,1.53,89
889,Battleship Potemkin,1925,8.0,97.0,57150,0.05,66
890,Sweet Smell of Success,1957,8.0,100.0,31520,,96
891,Down by Law,1986,7.7,75.0,51245,1.44,107
892,Millennium Actress,2001,7.8,70.0,27426,0.19,87
893,You Can't Take It with You,1938,7.8,,25587,4.66,126
894,Adam's Apples,2005,7.7,51.0,50307,0.0,94
895,My Father and My Son,2005,8.2,,85768,,112
896,"Spring, Summer, Fall, Winter... and Spring",2003,8.0,85.0,82245,2.38,103
897,Nights of Cabiria,1957,8.1,,48413,0.75,110
898,Autumn Sonata,1978,8.1,,33813,,99
899,The Exterminating Angel,1962,8.0,,32851,,95
900,Celda 211,2009,7.6,,67213,,113
901,Ivan's Childhood,1962,8.0,,36020,,95
902,Sunrise,1927,8.1,,50709,0.54,94
903,Nine Queens,2000,7.9,80.0,52540,1.22,114
904,Dreams,1990,7.7,,26204,1.96,119
905,About Elly,2009,7.9,87.0,52950,0.11,119
906,Queen,2013,8.1,,65212,1.43,146
907,The Triplets of Belleville,2003,7.7,91.0,54184,7.0,80
908,Once Upon a Time in Anatolia,2011,7.8,82.0,45980,0.14,157
909,Kal Ho Naa Ho,2003,7.9,54.0,68242,1.79,186
910,"Goodbye, Children",1987,8.0,88.0,33582,4.54,104
911,In America,2002,7.7,76.0,42976,15.54,105
912,Pink,2016,8.1,,44299,1.24,136
913,Hera Pheri,2000,8.1,,65283,,156
914,The Lost Weekend,1945,7.9,,36656,9.46,101
915,Crimes and Misdemeanors,1989,7.8,77.0,57665,18.25,104
916,Dil Chahta Hai,2001,8.1,,71327,0.3,183
917,Jab We Met,2007,7.9,,52183,0.41,138
918,Vivre Sa Vie,1962,7.9,,31275,,85
919,L'Avventura,1960,7.8,,29453,,144
920,The Big Heat,1953,7.9,,26515,,89
921,Masaan,2015,8.1,,27562,,109
922,Hiroshima Mon Amour,1959,7.9,,31625,0.09,90
923,No Man's Land,2001,7.9,84.0,46931,1.06,98
924,Haider,2014,8.1,,54574,0.9,160
925,Ace in the Hole,1951,8.1,72.0,35441,3.97,111
926,Vera Drake,2004,7.6,83.0,25412,3.75,125
927,The Return,2003,7.9,82.0,45285,0.5,110
928,The Gold Rush,1925,8.2,,109925,5.45,95
929,Tangerines,2013,8.1,73.0,45849,0.14,87
930,Uri: The Surgical Strike,2019,8.2,,59127,4.19,138
931,The Past,2013,7.7,85.0,48593,1.33,130
932,Duck Soup,1933,7.8,93.0,59771,,69
