,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
103,Taken,2008,7.8,51.0,594571,145.0,90
104,The Avengers,2012,8.0,69.0,1357563,623.28,143
105,Blue Velvet,1986,7.7,76.0,195577,8.55,120
106,Stand by Me,1986,8.1,75.0,394226,52.29,89
107,Get Out,2017,7.7,85.0,562996,176.04,104
108,12 Angry Men,1957,9.0,96.0,766145,4.36,96
109,Batman Begins,2005,8.2,70.0,1430413,206.85,140
110,Edge of Tomorrow,2014,7.9,71.0,658152,100.21,113
111,The Imitation Game,2014,8.0,71.0,751023,91.13,114
112,The Lord of the Rings: The Return of the King,2003,9.0,94.0,1781693,377.85,201
113,Casino Royale,2006,8.0,80.0,645844,167.45,144
114,The Father,2020,8.3,88.0,136945,,97
115,Platoon,1986,8.1,92.0,407541,138.53,120
116,Drive,2011,7.8,78.0,619895,35.06,100
117,Hacksaw Ridge,2016,8.1,71.0,503956,67.21,139
118,Who Framed Roger Rabbit,1988,7.7,83.0,197469,156.45,104
119,Logan,2017,8.1,77.0,732304,226.28,137
120,A Beautiful Mind,2001,8.2,72.0,912625,170.74,135
121,Love Actually,2003,7.6,55.0,474986,59.7,135
122,The Irishman,2019,7.8,94.0,373251,7.0,209
123,Jaws,1975,8.1,87.0,584649,260.0,124
124,The Lion King,1994,8.5,88.0,1027048,422.78,88
125,Good Will Hunting,1997,8.3,70.0,939795,138.43,126
126,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82.0,1254288,290.48,124
127,Eternal Sunshine of the Spotless Mind,2004,8.3,89.0,983140,34.4,108
128,Oldboy,2003,8.4,77.0,563282,0.71,120
129,Full Metal Jacket,1987,8.3,76.0,725768,46.36,116
130,Harry Potter and the Goblet of Fire,2005,7.7,81.0,609137,290.01,157
131,Star Wars: Episode VI - Return of the Jedi,1983,8.3,58.0,1024546,309.13,131
132,The Truman Show,1998,8.2,90.0,1040120,125.62,103
133,Office Space,1999,7.7,68.0,261702,10.82,89
134,Skyfall,2012,7.8,81.0,686134,304.36,143
